Team;Logo
Sport Lisboa e Benfica;https://estorilpraia.pt/novosite/wp-content/uploads/2020/09/Benfica-logo-PNG-300x300.png
Sporting Clube de Portugal;https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Sporting_Clube_de_Portugal_%28Logo%29.svg/150px-Sporting_Clube_de_Portugal_%28Logo%29.svg.png
FC Porto;https://logodownload.org/wp-content/uploads/2017/03/fc-porto-logo-1.png
FC Paços de Ferreira;https://upload.wikimedia.org/wikipedia/pt/3/3d/Futebol_Clube_Pa%C3%A7os_de_Ferreira.png
GD Estoril Praia;https://upload.wikimedia.org/wikipedia/pt/9/9d/Logo_Estoril-Praia.png
Moreirense FC;https://upload.wikimedia.org/wikipedia/pt/thumb/8/8c/Logo_Moreirense.svg/1200px-Logo_Moreirense.svg.png
FC Arouca;https://upload.wikimedia.org/wikipedia/pt/8/84/2310.png
Boavista FC;https://upload.wikimedia.org/wikipedia/pt/0/0c/Boavista_FC_da_Praia.png
CD Tondela;https://upload.wikimedia.org/wikipedia/pt/0/00/C.D._Tondela.png
CD Santa Clara;https://upload.wikimedia.org/wikipedia/en/thumb/3/37/C.D._Santa_Clara_logo.svg/1200px-C.D._Santa_Clara_logo.svg.png
FC Famalicão;https://upload.wikimedia.org/wikipedia/pt/6/61/Escudo_Famalic%C3%A3o.png
Gil Vicente FC;https://upload.wikimedia.org/wikipedia/commons/4/4e/Logogilvfc2021.png
Vitória SC;https://upload.wikimedia.org/wikipedia/pt/b/b3/VitoriaGuimaraes.png
Os Belenenses Futebol;https://upload.wikimedia.org/wikipedia/pt/2/2a/Os_Belenenses.png
CS Marítimo;https://upload.wikimedia.org/wikipedia/pt/a/a2/Logo_CS_Maritimo.png
FC Vizela;https://upload.wikimedia.org/wikipedia/pt/b/b9/Futebol_Clube_de_Vizela.png
Portimonense SC;https://upload.wikimedia.org/wikipedia/en/thumb/c/c0/Portimonense_Sporting_Clube_logo.svg/1200px-Portimonense_Sporting_Clube_logo.svg.png
Sporting Clube de Braga;https://upload.wikimedia.org/wikipedia/en/thumb/7/79/S.C._Braga_logo.svg/1200px-S.C._Braga_logo.svg.png
